STATE,zipcode,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,A00200,N00200,N00300,A00300,SCHF,N02300,A02300,N02500,A02500,N06500,A06500,N10300,A10300,N19700,A19700
GA,0,4378660,1872710,1507070,900630,2307480,8960160,3324700,71470,33390,38080,6830,37370,957130,857660,270829849,4378660,274455068,194483223,3709930,918210,1428854,42430,130260,355065,500070,7024799,2761230,34107978,3178980,36431542,1255380,9059753
GA,30002,3100,1610,1010,420,1580,5600,1600,50,20,30,0,0,530,780,252844,3100,257088,184877,2540,1030,701,0,80,274,420,6245,2310,36099,2490,38255,1280,7447
GA,30004,26740,10340,13390,2460,14010,60140,22530,320,40,280,0,0,2160,4530,3693023,26740,3743973,2746068,23190,9650,20475,110,490,1730,2530,43102,20970,666077,22380,696818,12740,119430
GA,30005,15540,5700,8340,1190,7680,35800,13770,120,30,90,0,0,1040,2190,2022149,15540,2048925,1597221,13970,5800,10872,20,330,1112,1080,19962,12490,347466,13160,361325,7500,50738
GA,30008,13050,5920,3300,3510,6900,27380,11570,260,110,150,40,90,3260,1810,492019,13050,497818,409397,10760,1520,696,0,380,1208,900,10712,6750,38598,9060,44032,2940,12479
GA,30009,8080,3900,3190,830,3990,15650,5020,160,0,160,0,0,760,1830,867539,8080,878759,619549,6620,2740,4428,0,180,587,1050,15783,6260,149044,6710,155670,3270,21999
GA,30011,7300,3070,2850,1200,3200,15350,5760,90,0,90,0,30,1500,1090,353068,7300,356437,293618,6460,1060,711,30,190,565,590,6974,4810,30420,5470,33074,1960,8761
GA,30012,11720,4690,3250,3530,6560,25460,10990,150,30,110,0,140,3150,2130,469247,11720,473928,356481,9790,1540,1973,30,340,993,1170,14294,6080,39534,7620,43632,2540,12834
GA,30013,12280,5190,3350,3460,6460,24810,9790,140,40,100,0,110,3420,2370,554868,12280,561168,428365,10330,1870,1791,0,420,1375,1380,17910,7180,48597,8570,52984,3660,19795
GA,30014,14650,5780,4930,3630,7760,31030,12170,60,0,60,0,170,4080,2890,699722,14650,707969,528886,12330,2560,3424,100,440,1205,1720,22883,8650,65632,10270,70996,3930,22060
GA,30016,23370,9280,6600,6800,11560,49460,20620,230,60,170,0,230,7320,3400,926630,23370,935287,791281,20420,2610,1450,50,900,2675,1940,21035,13320,65183,16070,71840,6700,29409
GA,30017,10240,3940,4410,1620,5310,22050,8280,90,0,90,0,0,1550,2090,700308,10240,709068,547078,8720,2630,2693,0,240,890,1230,17532,7230,79828,8080,85073,4270,25504
GA,30019,19860,7490,9420,2500,9730,44500,17270,180,30,150,0,40,2740,3460,1427853,19860,1445326,1117409,17110,4730,4322,60,480,1556,2110,30393,14150,163654,15770,174434,8320,44447
GA,30021,11500,5590,3230,2540,8390,24670,10290,220,100,110,40,50,3540,820,298472,11500,301423,270083,10480,640,242,0,220,602,280,2871,4690,14089,6190,16771,1340,4452
GA,30022,29400,12000,14000,2840,14850,63230,22830,310,50,270,0,30,2470,5390,3896098,29400,3954163,2728435,25450,10740,20060,40,620,2293,2720,48267,22560,693117,24390,726736,13570,167870
GA,30024,33050,11800,17450,3090,17170,77050,30110,260,30,230,0,20,2620,5320,3399651,33050,3446516,2640644,28620,11250,14003,70,700,2390,2860,46224,24890,517930,27220,544052,15280,106594
