"","STATE","zipcode","N1","NUMDEP","A00100","SCHF","A06500","A10300","A19700"
"1","GA",0,4378660,3324700,270829849,42430,34107978,36431542,9059753
"2","GA",30002,3100,1600,252844,0,36099,38255,7447
"3","GA",30004,26740,22530,3693023,110,666077,696818,119430
"4","GA",30005,15540,13770,2022149,20,347466,361325,50738
"5","GA",30008,13050,11570,492019,0,38598,44032,12479
"6","GA",30009,8080,5020,867539,0,149044,155670,21999
"7","GA",30011,7300,5760,353068,30,30420,33074,8761
"8","GA",30012,11720,10990,469247,30,39534,43632,12834
"9","GA",30013,12280,9790,554868,0,48597,52984,19795
"10","GA",30014,14650,12170,699722,100,65632,70996,22060
"11","GA",30016,23370,20620,926630,50,65183,71840,29409
"12","GA",30017,10240,8280,700308,0,79828,85073,25504
"13","GA",30019,19860,17270,1427853,60,163654,174434,44447
"14","GA",30021,11500,10290,298472,0,14089,16771,4452
"15","GA",30022,29400,22830,3896098,40,693117,726736,167870
"16","GA",30024,33050,30110,3399651,70,517930,544052,106594
"17","GA",30025,4060,3070,237827,80,25485,27294,7901
"18","GA",30028,10320,8380,760066,100,92581,98268,17733
"19","GA",30030,12980,8300,1410576,20,219047,234513,38395
"20","GA",30032,20240,14420,615260,0,44796,50318,16817
"21","GA",30033,14040,6500,1202379,20,175414,185730,31938
"22","GA",30034,21490,15480,767593,0,57287,62184,35292
"23","GA",30035,10030,7990,307299,0,18977,21419,11171
"24","GA",30038,17920,14100,704503,0,53983,59086,32424
"25","GA",30039,21470,17520,989168,0,83298,90812,34046
"26","GA",30040,29130,25290,2586583,100,349116,367623,70394
"27","GA",30041,27790,23480,2993713,100,462860,482807,88903
"28","GA",30043,38720,29520,2290139,40,251216,272305,69108
"29","GA",30044,40750,34940,1714258,30,143639,164444,41632
"30","GA",30045,16770,15010,863515,0,77079,84572,28027
"31","GA",30046,17360,14680,664457,0,51166,58826,19205
"32","GA",30047,28920,23330,1669948,50,181056,197894,46678
"33","GA",30052,29110,23570,1567060,80,144097,155731,45817
"34","GA",30054,5060,3620,286723,40,30451,32398,9790
"35","GA",30055,1370,1000,82580,70,9106,9645,2271
"36","GA",30056,1090,880,57021,40,5741,6235,1134
"37","GA",30058,25560,21150,882460,0,60222,66796,35937
"38","GA",30060,15860,14740,616598,0,60157,68398,15644
"39","GA",30062,30140,22060,2933168,60,447779,473675,91566
"40","GA",30064,22500,15210,2096435,50,315563,333625,84793
"41","GA",30066,27250,17870,2141792,40,289597,305945,57123
"42","GA",30067,22870,14110,2095565,30,349378,370508,116166
"43","GA",30068,15560,10820,2135239,40,379968,401549,73139
"44","GA",30071,11240,11580,448066,0,41403,48105,10695
"45","GA",30075,25250,17800,3316783,60,581674,611179,117504
"46","GA",30076,20810,15570,1895675,40,291618,307582,54108
"47","GA",30078,16380,12360,1065702,30,131903,140291,32999
"48","GA",30079,1300,930,54116,0,5211,5705,929
"49","GA",30080,25350,14780,1859931,30,265921,281323,51531
"50","GA",30082,12910,7790,1031392,20,143250,151307,30542
"51","GA",30083,25010,19550,771293,0,51109,58753,22180
"52","GA",30084,18520,13800,995164,20,108715,118308,25550
"53","GA",30087,17950,12000,1135542,50,132004,140878,49508
"54","GA",30088,12500,9520,421653,0,29771,32985,15994
"55","GA",30092,16940,12190,1385778,20,206012,219322,49098
"56","GA",30093,23510,24330,657712,0,36286,48796,11433
"57","GA",30094,14470,10020,766369,40,74562,79575,28667
"58","GA",30096,32430,22670,1673279,40,190184,206587,41212
"59","GA",30097,20320,16430,2936565,40,555605,584281,131986
"60","GA",30101,26650,20700,2047951,50,264740,279209,61373
"61","GA",30102,18520,13340,994262,30,101972,109887,22729
"62","GA",30103,5950,4690,291364,140,26588,28698,6020
"63","GA",30104,1880,1480,79900,50,6156,6693,1543
"64","GA",30105,1100,590,66119,70,6855,7327,2787
"65","GA",30106,9800,7620,370305,0,27391,30576,10738
"66","GA",30107,6400,4330,422313,90,47336,50808,9498
"67","GA",30108,3140,2260,140324,160,11783,13155,3139
"68","GA",30110,5180,4180,269566,80,25024,27031,7356
"69","GA",30113,2220,1710,98387,90,7847,8644,2338
"70","GA",30114,21750,18200,1534133,70,186931,198362,45963
"71","GA",30115,18550,14490,1489364,130,190724,202558,41671
"72","GA",30116,9790,7990,531552,130,56170,59852,15522
"73","GA",30117,13900,11130,664659,160,72002,77333,19890
"74","GA",30120,17300,14350,937649,100,100708,107952,28532
"75","GA",30121,9520,7300,449521,30,43063,46350,10917
"76","GA",30122,10740,8150,430188,0,34171,37293,12939
"77","GA",30124,1250,780,59830,60,5470,5809,1254
"78","GA",30125,9140,8570,365890,180,27245,29867,9026
"79","GA",30126,18160,14750,1294802,20,176283,186981,49362
"80","GA",30127,29740,23120,1858373,70,210408,223427,67806
"81","GA",30132,15490,12740,877035,50,82013,87725,21829
"82","GA",30134,19140,16650,804213,40,62634,68654,23735
"83","GA",30135,28980,22600,1579333,50,161298,171911,54892
"84","GA",30137,730,550,31316,0,2727,2936,668
"85","GA",30139,1660,1260,72902,70,5739,6284,1217
"86","GA",30141,10000,7520,510331,40,48563,52028,14615
"87","GA",30143,10140,5320,705136,120,81697,87112,16583
"88","GA",30144,24580,15050,1362369,20,146074,155302,31043
"89","GA",30145,3310,2740,188813,70,19196,20383,5136
"90","GA",30147,1810,1430,75743,20,5863,6362,2011
"91","GA",30148,320,150,14029,0,1198,1315,198
"92","GA",30152,19770,14750,1796333,50,275192,289418,61975
"93","GA",30153,7560,5970,318179,110,24567,26739,6991
"94","GA",30157,19950,15670,1034737,60,91035,97560,24245
"95","GA",30161,13490,10240,750509,160,81329,87519,41956
"96","GA",30165,16320,14680,829034,130,86177,92649,45433
"97","GA",30168,11590,11840,368285,0,22339,25663,11435
"98","GA",30170,1220,900,62059,100,5790,6313,1769
"99","GA",30171,1420,1040,76688,40,7333,7865,1506
"100","GA",30173,2660,2030,125621,50,10309,11120,3406
"101","GA",30175,2490,1740,120777,60,11709,12757,2166
"102","GA",30176,2630,1960,108845,60,8457,9227,2424
"103","GA",30177,280,180,12122,0,948,1054,163
"104","GA",30178,1630,1170,88330,60,8519,9125,2206
"105","GA",30179,7270,5730,325924,80,25183,27459,7376
"106","GA",30180,15330,12270,823606,80,81493,86888,22691
